,Date,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,original order,Address
951,2009-09-13,Provoked,BRAZIL,Pernambuco,"Piedade, Recife",Unknown,M,34,Y,Unknown,Other,5145,"Piedade, Recife, Pernambuco, BRAZIL"
952,2009-09-12,Invalid,USA,North Carolina,"Corolla, Currituck County",Swimming,M,60,Y,21h00,Other,5144,"Corolla, Currituck County, North Carolina, USA"
953,2009-09-07,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife","Swimming, attempting to rescue a girl  believed to be drowning",M,15,Y,Unknown,Other,5143,"Piedade, Recife, Pernambuco, BRAZIL"
954,2009-09-02,Invalid,NEVIS,Other,Castle Beach,Swimming,M,Unknown,Y,Unknown,Other,5142,Unknown
955,2009-09-01,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,"Kirakira, Makira Island (formerly San Cristobal)",Fishing,M,Unknown,N,Unknown,Other,5141,"Kirakira, Makira Island (formerly San Cristobal), Makira-Ulawa Province, SOLOMON ISLANDS"
956,2009-08-30,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,Unknown,N,18h30,Other,5140,"Huntington Beach, Orange County, California, USA"
957,2009-08-29,Unprovoked,SOUTH AFRICA,Western Cape Province,Glentana,Surfing,M,25,Y,15h30,Great White,5139,"Glentana, Western Cape Province, SOUTH AFRICA"
959,2009-08-25,Unprovoked,USA,California,"Terramar Beach, Carlsbad, San Diego County",Swimming,F,22,N,16h30,Great White,5138,"Terramar Beach, Carlsbad, San Diego County, California, USA"
960,2009-08-11,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Alkantstrand,Body boarding,M,Unknown,N,Unknown,Great White,5137,"Alkantstrand, KwaZulu-Natal, SOUTH AFRICA"
961,2009-08-10,Unprovoked,USA,Florida,"Ponce, Volusia County",Swimming,M,26,N,19h00,Other,5136,"Ponce, Volusia County, Florida, USA"
962,2009-08-06,Unprovoked,USA,Hawaii,Kawa'a,Surfing,M,Unknown,N,08h45,Other,5135,"Kawa'a, Hawaii, USA"
963,2009-08-01,Unprovoked,USA,Louisiana,"Curlew Island, Breton Sound",Wade Fishing,M,56,N,10h00,Bull,5134,"Curlew Island, Breton Sound, Louisiana, USA"
964,2009-07-31,Unprovoked,BAHAMAS,Abaco Islands,Spanish Cay,Spearfishing,M,14,N,Unknown,Bull,5133,"Spanish Cay, Abaco Islands, BAHAMAS"
965,2009-07-30,Unprovoked,AUSTRALIA,New South Wales,Broken Head,Surfing,M,14,N,06h15,Other,5132,"Broken Head, New South Wales, AUSTRALIA"
966,2009-07-29,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,F,41,N,17h30,Other,5131,"Quy Nhon, Binh Dinh Province, VIETNAM"
967,2009-07-24,Unprovoked,KENYA,Mombasa,Likoni Channel,Washing his feet,M,Unknown,Y,Unknown,Other,5130,"Likoni Channel, Mombasa, KENYA"
968,2009-07-24,Unprovoked,USA,Texas,South Padre Island,Wading,F,14,N,Unknown,Other,5129,"South Padre Island, Texas, USA"
969,2009-07-24,Invalid,SPAIN,Catalunya,Sant Salvador,Swimming,F,11,N,10h15,Other,5128,"Sant Salvador, Catalunya, SPAIN"
970,2009-07-22,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Swimming,F,26,N,15h00,Other,5127,"Holden Beach. Brunswick County, North Carolina, USA"
971,2009-07-22,Unprovoked,USA,Florida,"Intracoastal Waterway,      St. Petersburg",Swimming,F,19,N,15h00,Other,5126,"Intracoastal Waterway,      St. Petersburg, Florida, USA"
972,2009-07-18,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,M,57,N,Unknown,Other,5125,"Quy Nhon, Binh Dinh Province, VIETNAM"
973,2009-07-11,Provoked,BAHAMAS,Other,Other,Spearfishing,M,Unknown,N,Unknown,Other,5124,Unknown
974,2009-07-11,Unprovoked,USA,California,"San Onofre, San Diego County ",Paddle-surfing,M,Unknown,N,08h30,Other,5123,"San Onofre, San Diego County , California, USA"
975,2009-07-07,Unprovoked,SOUTH AFRICA,Western Cape Province,"Jogensfontein, Stilbaai",Surfing,M,37,N,11h15,Other,5122,"Jogensfontein, Stilbaai, Western Cape Province, SOUTH AFRICA"
976,2009-07-05,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Boogie Boarding,F,12,N,16h00,Other,5121,"Daytona Beach, Volusia County, Florida, USA"
977,2009-07-04,Provoked,USA,Florida,"Biscayne National Park, Miami",Swimming,F,43,N,15h45,Other,5120,"Biscayne National Park, Miami, Florida, USA"
978,2009-06-27,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,52,N,08h45,Other,5119,"Seven Mile Beach, Gerroa, New South Wales, AUSTRALIA"
979,2009-06-21,Invalid,USA,California,"Shell Beach, San Luis Obispo County",Surfing,M,26,N,Unknown,Other,5118,"Shell Beach, San Luis Obispo County, California, USA"
980,2009-06-16,Invalid,USA,Florida,"Melbourne Beach, Brevard County",Crawling,M,14,N,17h30,Other,5117,"Melbourne Beach, Brevard County, Florida, USA"
981,2009-06-14,Provoked,VIETNAM,Other,Other,Fishing for sharks,M,Unknown,N,Unknown,Great White,5116,Unknown
982,2009-06-02,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,M,Unknown,N,Unknown,Great White,5115,"Habili Gafar, St. Johns Reef, EGYPT"
983,2009-06-02,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,M,Unknown,N,Unknown,Great White,5114,"Habili Gafar, St. Johns Reef, EGYPT"
984,2009-06-01,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Snorkeling,F,50,Y,Unknown,Great White,5113,"Habili Gafar, St. Johns Reef, EGYPT"
985,2009-05-31,Provoked,TAIWAN,Off Green Island,Onboard the fishing vessel Chin Sheng Fa 13,Fishing,M,46,N,20h30,Other,5112,"Onboard the fishing vessel Chin Sheng Fa 13, Off Green Island, TAIWAN"
986,2009-05-25,Provoked,USA,Florida,"Clearwater Beach, Pinellas County",Swimming,M,Unknown,N,20h30,Other,5111,"Clearwater Beach, Pinellas County, Florida, USA"
987,2009-05-17,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,31,N,09h35,Other,5110,"New Smyrna Beach, Volusia County, Florida, USA"
988,2009-05-16,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,49,N,10h27,Other,5109,"New Smyrna Beach, Volusia County, Florida, USA"
989,2009-05-16,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,55,N,10h16,Other,5108,"New Smyrna Beach, Volusia County, Florida, USA"
990,2009-05-12,Provoked,GUAM,North Region,Ritidian Point,Spearfishing,M,27,N,Unknown,Other,5107,"Ritidian Point, North Region, GUAM"
991,2009-03-06,Provoked,BAHAMAS,Exuma Islands,Other,Spearfishing,M,48,N,Unknown,Other,5106,Unknown
992,2009-04-28,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Unknown,F,Unknown,N,16h45,Other,5105,"St. Augustine, St. John's County, Florida, USA"
993,2009-04-25,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,Unknown,N,10h00,Other,5104,"San Onofre State Beach, San Diego County, California, USA"
994,2009-04-21,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,N,Unknown,Other,5103,"New Smyrna Beach, Volusia County, Florida, USA"
995,2009-04-20,Unprovoked,PHILIPPINES,Batangas province,Mabini,Swimming,M,23,N,5h00,Other,5102,"Mabini, Batangas province, PHILIPPINES"
996,2009-04-19,Unprovoked,USA,Florida,"Carlin Park, Jupiter Inlet",Surfing,M,52,N,16h00,Other,5101,"Carlin Park, Jupiter Inlet, Florida, USA"
997,2009-04-17,Unprovoked,USA,Florida,"Walton Rocks, St Lucie County",Surfing,M,31,N,13h15,Other,5100,"Walton Rocks, St Lucie County, Florida, USA"
998,2009-04-11,Invalid,USA,Hawaii,Kona,Spearfishing,M,49,N,Unknown,Other,5099,"Kona, Hawaii, USA"
999,2009-04-12,Unprovoked,AUSTRALIA,New South Wales,Fingal Bay,Surf skiing,M,40,N,08h00,Other,5098,"Fingal Bay, New South Wales, AUSTRALIA"
1000,2009-04-06,Invalid,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Swimming,M,24,Y,Unknown,Other,5097,"Umtentweni, KwaZulu-Natal, SOUTH AFRICA"
1001,2009-04-06,Unprovoked,USA,California,San Diego County,Spearfishing,M,Unknown,N,07h45,Great White,5096,"San Diego County, California, USA"
1002,2009-04-03,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Wading,M,15,N,16h00,Other,5095,"Sanibel Island, Lee County, Florida, USA"
1003,2009-03-27,Provoked,SOUTH AFRICA,Eastern Cape Province,2-3 km north of Sunday's River mouth,Fishing,M,59,N,Unknown,Other,5094,"2-3 km north of Sunday's River mouth, Eastern Cape Province, SOUTH AFRICA"
1004,2009-03-21,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,16,Y,Unknown,Other,5093,"Second Beach, Port St. John's, Eastern Cape Province, SOUTH AFRICA"
1005,2009-03-20,Unprovoked,AUSTRALIA,New South Wales,Blue Bay,Surfing,M,17,N,18h45,Other,5092,"Blue Bay, New South Wales, AUSTRALIA"
1006,2009-03-19,Unprovoked,AUSTRALIA,New South Wales,South Broulee,Surfing,M,Unknown,N,Unknown,Other,5091,"South Broulee, New South Wales, AUSTRALIA"
1007,2009-03-19,Unprovoked,AUSTRALIA,New South Wales,Bateman's Bay,Surfing,F,Unknown,N,07h45,Other,5090,"Bateman's Bay, New South Wales, AUSTRALIA"
1008,2009-03-18,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,F,17,N,17h30,Other,5089,"Ponce Inlet, Volusia County, Florida, USA"
1009,2009-03-17,Unprovoked,MALAYSIA,Strait of Malacca,Pulau Payar Island,Feeding fish,F,Unknown,N,Unknown,Other,5088,"Pulau Payar Island, Strait of Malacca, MALAYSIA"
1010,2009-03-17,Unprovoked,USA,Hawaii,Alenuihaha Channel,Swimming,M,61,N,20h00,Other,5087,"Alenuihaha Channel, Hawaii, USA"
1011,2009-03-16,Provoked,AUSTRALIA,Western Australia,"The Natural Jetty, Rottnest Island",Wading,M,21,N,Unknown,Other,5086,"The Natural Jetty, Rottnest Island, Western Australia, AUSTRALIA"
1012,2009-03-06,Unprovoked,NEW CALEDONIA,South Province,Bourail,Surfing,M,19,Y,11h30,Other,5085,"Bourail, South Province, NEW CALEDONIA"
1013,2009-03-02,Provoked,SOUTH AFRICA,Western Cape Province,Off Cape Point,Fishing,M,40,N,13h30,Other,5084,"Off Cape Point, Western Cape Province, SOUTH AFRICA"
1014,2009-03-01,Boat,NEW ZEALAND,North Island,Taranaki,Fishing,M,Unknown,N,Unknown,Other,5083,"Taranaki, North Island, NEW ZEALAND"
1015,2009-03-01,Unprovoked,AUSTRALIA,New South Wales,Avalon,Surfing,M,15,N,06h45,Other,5082,"Avalon, New South Wales, AUSTRALIA"
1016,2009-02-22,Unprovoked,AUSTRALIA,Queensland,Batt Reef,Fishing,M,Unknown,N,10h15,Other,5081,"Batt Reef, Queensland, AUSTRALIA"
1017,2009-02-18,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,Unknown,N,17h00,Other,5080,"Shelly Beach, near Port Macquarie, New South Wales, AUSTRALIA"
1018,2009-02-12,Unprovoked,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",Surfing,M,33,N,19h30,Great White,5079,"Bondi Beach, Sydney, New South Wales, AUSTRALIA"
1019,2009-02-11,Unprovoked,AUSTRALIA,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour","Diving, but on the surface when bitten by the shark",M,31,N,07h00,Bull,5078,"Garden Point, Woolloomooloo Sydney Harbour, New South Wales, AUSTRALIA"
1020,2009-02-08,Sea Disaster,USA,Puerto Rico,Quebradillas,Air Disaster,M,Unknown,Y,Unknown,Other,5077,"Quebradillas, Puerto Rico, USA"
1021,2009-02-07,Unprovoked,AUSTRALIA,New South Wales,Cellito Beach,Surfing,M,41,N,11h00,Great White,5076,"Cellito Beach, New South Wales, AUSTRALIA"
1022,2009-02-07,Unprovoked,AUSTRALIA,New South Wales,Sandon,Surfing,M,Unknown,N,07h30,Other,5075,"Sandon, New South Wales, AUSTRALIA"
1023,2009-01-27,Provoked,AZORES,Other,Onboard the fishing vessel Nuevo Cedes,Fishing,M,49,N,Unknown,Other,5074,Unknown
1024,2009-01-26,Invalid,BRAZIL,Other,Praia do Olho d'Aqua,Unknown,M,17,Y,Unknown,Other,5073,Unknown
1025,2009-01-25,Unprovoked,CUBA,Guantanamo Province,Guantanamo Bay,Spearfishing,M,15,N,10h30,Bull,5072,"Guantanamo Bay, Guantanamo Province, CUBA"
1026,2009-01-24,Boat,NEW ZEALAND,North Island,Alderman Islands,Fishing,Unknown,Unknown,N,19h00,Other,5071,"Alderman Islands, North Island, NEW ZEALAND"
1027,2009-01-24,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",Swimming,M,19,N,16h30,Other,5070,"Surf Beach, Batemans Bay, New South Wales, AUSTRALIA"
1028,2009-01-24,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Swimming,M,25,Y,14h00,Other,5069,"Second Beach, Port St. John's, Eastern Cape Province, SOUTH AFRICA"
1029,2009-01-23,Invalid,BRAZIL,Maranhão,Olho d'Água,Swimming,M,17,Y,Unknown,Other,5068,"Olho d'Água, Maranhão, BRAZIL"
1030,2009-01-18,Boat,AUSTRALIA,Victoria,Off Tower Hill,Fishing,M,Unknown,N,09h20,Great White,5067,"Off Tower Hill, Victoria, AUSTRALIA"
1031,2009-01-16,Unprovoked,NEW ZEALAND,South Island,Karitane Beach,Surfing,M,Unknown,N,Unknown,Other,5066,"Karitane Beach, South Island, NEW ZEALAND"
1032,2009-01-13,Unprovoked,SOUTH AFRICA,Western Cape Province,"Shark Alley, off Gansbaai",Unknown,Unknown,Unknown,Y,Unknown,Great White,5065,"Shark Alley, off Gansbaai, Western Cape Province, SOUTH AFRICA"
1033,2009-01-12,Unprovoked,AUSTRALIA,New South Wales,"Windang,       Lake Illawara",Snorkeling,M,24,N,10h45,Other,5064,"Windang,       Lake Illawara, New South Wales, AUSTRALIA"
1034,2009-01-11,Unprovoked,AUSTRALIA,Tasmania,Binalong Bay,Surfing,F,13,N,15h45,Great White,5063,"Binalong Bay, Tasmania, AUSTRALIA"
1035,2009-01-11,Unprovoked,AUSTRALIA,New South Wales,Fingal Beach,Surfing,M,31,N,09h00,Great White,5062,"Fingal Beach, New South Wales, AUSTRALIA"
1036,2009-01-10,Boat,NEW ZEALAND,North Island,Hawkes Bay,Fishing,Unknown,Unknown,N,Unknown,Other,5061,"Hawkes Bay, North Island, NEW ZEALAND"
1037,2009-01-10,Unprovoked,ECUADOR,Galapagos Islands,Isla Isabella,Surfing,M,22,N,Unknown,Other,5060,"Isla Isabella, Galapagos Islands, ECUADOR"
1038,2009-01-06,Unprovoked,NEW ZEALAND,North Island,Haumoana,Swimming,M,49,N,17h30,Other,5059,"Haumoana, North Island, NEW ZEALAND"
1039,2020-01-09,Unprovoked,CUBA,Guantanamo Province,Guantanamo,Spearfishing,Unknown,Unknown,N,Unknown,Bull,5058,"Guantanamo, Guantanamo Province, CUBA"
1040,2008-12-30,Invalid,AUSTRALIA,Western Australia,Port Kennedy Beach,Crabbing,Unknown,Unknown,N,09h30,Other,5057,"Port Kennedy Beach, Western Australia, AUSTRALIA"
1041,2008-12-27,Boat,AUSTRALIA,Tasmania,near Schouten Island,Yacht race,Unknown,Unknown,N,Unknown,Other,5056,"near Schouten Island, Tasmania, AUSTRALIA"
1042,2008-12-27,Unprovoked,AUSTRALIA,New South Wales,Seal Rocks,Boogie Boarding,M,10,N,Unknown,Other,5055,"Seal Rocks, New South Wales, AUSTRALIA"
1043,2008-12-27,Unprovoked,AUSTRALIA,New South Wales,"Long Reef, north of Sydney",Kayaking,M,29,N,11h00,Great White,5054,"Long Reef, north of Sydney, New South Wales, AUSTRALIA"
1044,2008-12-27,Unprovoked,AUSTRALIA,Western Australia,Port Kennedy Beach,Snorkeling,M,51,Y,07h00,Great White,5053,"Port Kennedy Beach, Western Australia, AUSTRALIA"
1045,2008-12-20,Unprovoked,USA,California,"Dillon Beach, Marin County",Kayaking,M,Unknown,N,15h00,Great White,5052,"Dillon Beach, Marin County, California, USA"
1046,2008-12-14,Unprovoked,NEW ZEALAND,North Island,Maraetai,Fishing,M,Unknown,N,Unknown,Other,5051,"Maraetai, North Island, NEW ZEALAND"
1047,2008-12-10,Provoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing,M,15,N,20h00,Other,5050,"Plettenberg Bay, Western Cape Province, SOUTH AFRICA"
1048,2006-12-06,Boat,AUSTRALIA,New South Wales,Mowarry Point,Fishing,Unknown,Unknown,N,Unknown,Great White,5049,"Mowarry Point, New South Wales, AUSTRALIA"
1049,2020-12-08,Unprovoked,MOZAMBIQUE,Inhambane Province,Chidenguele,Spearfishing,M,Unknown,Y,Unknown,Other,5048,"Chidenguele, Inhambane Province, MOZAMBIQUE"
1050,2008-11-28,Unprovoked,EGYPT,Red Sea,Elphinstone Reef,Scuba diving,F,Unknown,N,Unknown,Great White,5047,"Elphinstone Reef, Red Sea, EGYPT"
1051,2008-11-25,Sea Disaster,PHILIPPINES,Batanes Provine,Luzon Strait,Sinking of the cargo ship Mark Jason,M,Unknown,N,Unknown,Other,5046,"Luzon Strait, Batanes Provine, PHILIPPINES"
1052,2008-11-24,Unprovoked,ECUADOR,Galapagos Islands,Santa Cruz,Unknown,F,Unknown,N,Unknown,Other,5045,"Santa Cruz, Galapagos Islands, ECUADOR"
1053,2008-11-09,Boat,AUSTRALIA,South Australia,North Haven,Fishing,M,Unknown,N,Unknown,Other,5044,"North Haven, South Australia, AUSTRALIA"
1054,2008-11-09,Sea Disaster,TAIWAN,Other,50 miles off Kaohsiung,Fishing boat swamped in storm,M,45,Y,Unknown,Other,5043,Unknown
1055,2008-11-06,Unprovoked,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",Fishing,M,39,Y,10h00,Other,5042,"off Paoay, Ilocos Norte Province, Luzon, PHILIPPINES"
1056,2008-10-22,Provoked,AUSTRALIA,New South Wales,"Oceanworld, Manley",Scuba diving,M,34,N,17h20,Other,5041,"Oceanworld, Manley, New South Wales, AUSTRALIA"
1057,2008-10-21,Unprovoked,NEW CALEDONIA,Other,Other,Spearfishing,M,24,N,11h00,Other,5040,Unknown
1058,2008-10-12,Provoked,AUSTRALIA,Northern Territory,Darwin,Fishing,M,50,N,Unknown,Other,5039,"Darwin, Northern Territory, AUSTRALIA"
1059,2008-10-11,Unprovoked,AUSTRALIA,New South Wales,Lake Macquarie,Surfing,M,15,N,15h30,Other,5038,"Lake Macquarie, New South Wales, AUSTRALIA"
1060,2008-10-08,Unprovoked,USA,Florida,"Santa Rosa Beach, Walton County",Fishing,M,11,N,12h00,Other,5037,"Santa Rosa Beach, Walton County, Florida, USA"
1061,2008-10-06,Unprovoked,CROATIA,Split-Dalmatia Count,"Smokvina Bay, Vis Island",Spearfishing,M,43,N,12h00,Great White,5036,"Smokvina Bay, Vis Island, Split-Dalmatia Count, CROATIA"
1062,2008-09-28,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,44,N,11h45,Other,5035,"New Smyrna Beach, Volusia County, Florida, USA"
1063,2008-09-28,Unprovoked,USA,Florida,Bethune Beach,Surfing,M,40,N,11h00,Other,5034,"Bethune Beach, Florida, USA"
1064,2008-09-15,Provoked,AUSTRALIA,Northern Territory,Near Croker Island,Swimming,M,43,N,14h30,Other,5033,"Near Croker Island, Northern Territory, AUSTRALIA"
1065,2008-09-14,Unprovoked,USA,Florida,"Ormond-by-the-Sea, Volusia County",Swimming,M,32,N,12h00,Other,5032,"Ormond-by-the-Sea, Volusia County, Florida, USA"
1066,2008-09-09,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",Surfing,M,40,N,16h30,Other,5031,"Ka'a'awa, Oahu, Hawaii, USA"
1067,2008-09-08,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,Unknown,N,10h30,Great White,5030,"Surf Beach, Lompoc, Santa Barbara County, California, USA"
1068,2008-09-07,Unprovoked,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",Surfing,M,51,N,12h00,Other,5029,"Clarks Beach, Byron Bay, New South Wales, AUSTRALIA"
1069,2008-09-06,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,43,N,12h00,Other,5028,"Ponce Inlet, New Smyrna Beach, Volusia County, Florida, USA"
1070,2008-09-06,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,15,N,12h00,Other,5027,"Ponce Inlet, New Smyrna Beach, Volusia County, Florida, USA"
1071,2008-09-01,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,52,N,10h00,Other,5026,"New Smyrna Beach, Volusia County, Florida, USA"
1072,2020-09-08,Unprovoked,USA,Florida,Hutchinson Island,Surfing,M,Unknown,N,Unknown,Other,5025,"Hutchinson Island, Florida, USA"
1073,2008-08-30,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,29,N,Unknown,Other,5024,"Tallow Beach, Byron Bay, New South Wales, AUSTRALIA"
1074,2008-08-30,Invalid,USA,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i ",Swimming,M,27,Y,19h20,Other,5023,"McKenzie Beach Park in Pahoa, Hawai'i , Hawaii, USA"
1075,2008-08-30,Provoked,ENGLAND,North Devon,Lundy Island,Fishing,M,52,N,Unknown,Other,5022,"Lundy Island, North Devon, ENGLAND"
1076,2008-08-28,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,N,12h00,Other,5021,"New Smyrna Beach, Volusia County, Florida, USA"
1077,2008-08-27,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,26,N,11h00,Other,5020,"New Smyrna Beach, Volusia County, Florida, USA"
1078,2008-08-24,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",M,20,N,15h00,Other,5019,"New Smyrna Beach, Volusia County, Florida, USA"
1079,2008-08-24,Invalid,USA,North Carolina,"Surf City, Topsail Island, Pender County",Surfing,F,20,N,18h00,Other,5018,"Surf City, Topsail Island, Pender County, North Carolina, USA"
1080,2008-08-20,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,47,N,14h45,Other,5017,"Sanibel Island, Lee County, Florida, USA"
1081,2008-08-18,Invalid,USA,South Carolina,"North Myrtle Beach, Horry County",Unknown,M,7,N,Unknown,Other,5016,"North Myrtle Beach, Horry County, South Carolina, USA"
1082,2008-08-16,Unprovoked,USA,US Virgin Islands,Buck Island,Treading water,F,38,N,Unknown,Bull,5015,"Buck Island, US Virgin Islands, USA"
1083,2008-08-12,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,13,N,12h05,Other,5014,"New Smyrna Beach, Volusia County, Florida, USA"
1084,2008-08-11,Unprovoked,USA,Hawaii,"Ala Moana Beach Park, Oah'u",Diving,M,Unknown,N,14h00,Other,5013,"Ala Moana Beach Park, Oah'u, Hawaii, USA"
1085,2008-07-30,Unprovoked,AUSTRALIA,Victoria,Levys Beach,Surfing,M,31,N,10h30,Great White,5012,"Levys Beach, Victoria, AUSTRALIA"
1086,2008-07-30,Unprovoked,SOUTH AFRICA,Other,Other,Unknown,M,Unknown,N,Unknown,Great White,5011,Unknown
1087,2008-07-27,Unprovoked,PANAMA,San Carlos,Playa Teta,Swimming or surfing,M,Unknown,N,18h00,Other,5010,"Playa Teta, San Carlos, PANAMA"
1088,2008-07-26,Unprovoked,MEXICO,Cabo San Lucas,Other,Swimming,M,33,N,Unknown,Other,5009,Unknown
1089,2008-07-26,Unprovoked,USA,Hawaii,"Honokowai, Maui",Swimming,M,Unknown,N,15h30,Other,5008,"Honokowai, Maui, Hawaii, USA"
1090,2008-07-25,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,N,09h00,Other,5007,"New Smyrna Beach, Volusia County, Florida, USA"
1091,2008-07-25,Unprovoked,USA,Hawaii,"Lahilahi Point, Oahu",Snorkeling,F,44,N,08h45,Other,5006,"Lahilahi Point, Oahu, Hawaii, USA"
1092,2008-07-24,Unprovoked,USA,North Carolina,"Surf City, Topsail Island, Pender County",Wading,M,9,N,Unknown,Other,5005,"Surf City, Topsail Island, Pender County, North Carolina, USA"
1093,2008-07-24,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",Wading,F,8,N,13h00,Other,5004,"Topsail Island, Pender County, North Carolina, USA"
1094,2008-07-23,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,N,14h30,Other,5003,"New Smyrna Beach, Volusia County, Florida, USA"
1095,2008-07-19,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,16,N,13h55,Other,5002,"New Smyrna Beach, Volusia County, Florida, USA"
1096,2008-07-18,Unprovoked,EGYPT,Other,Daedalus Reef,Diving,M,Unknown,N,Unknown,Great White,5001,Unknown
1097,2008-07-13,Invalid,USA,North Carolina,"Carolina Beach, New Hanover County",Body surfing,M,52,N,Unknown,Other,5000,"Carolina Beach, New Hanover County, North Carolina, USA"
1098,2008-07-11,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Surfing,M,24,N,14h00,Other,4999,"Isle of Palms, Charleston County, South Carolina, USA"
1099,2008-07-09,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,14,N,19h30,Other,4998,"Emerald Isle, Carteret County, North Carolina, USA"
1100,2008-07-05,Unprovoked,USA,South Carolina,"Litchfield Beach, Georgetown County",Unknown,F,17,N,14h21,Other,4997,"Litchfield Beach, Georgetown County, South Carolina, USA"
1102,2008-06-28,Invalid,USA,Hawaii,"Kamilo Point, Hawai'i",Wading,M,53,Y,Unknown,Other,4995,"Kamilo Point, Hawai'i, Hawaii, USA"
1103,2008-06-28,Unprovoked,BAHAMAS,Abaco Islands,Other,Spearfishing,M,42,N,11h00,Bull,4994,Unknown
1104,2008-06-28,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surf skiing,M,46,N,14h00,Great White,4993,"Mossel Bay, Western Cape Province, SOUTH AFRICA"
1105,2008-06-26,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay,Spearfishing (free diving),M,Unknown,N,Unknown,Great White,4992,"Struis Bay, Western Cape Province, SOUTH AFRICA"
1106,2008-06-26,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,N,Unknown,Other,4991,"New Smyrna Beach, Volusia County, Florida, USA"
1107,2008-06-26,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,37,N,11h15,Other,4990,"Isle of Palms, Charleston County, South Carolina, USA"
1108,2008-06-24,Unprovoked,BRAZIL,Bahia,Guarajuba,Surfing,M,Unknown,N,Unknown,Other,4989,"Guarajuba, Bahia, BRAZIL"
1109,2008-06-21,Unprovoked,USA,California,"West Cove, Catalina Island",Kayaking,F,40,N,09h00,Great White,4988,"West Cove, Catalina Island, California, USA"
1110,2008-06-20,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County",Wading,F,35,N,11h10,Other,4987,"Fernandina Beach, Nassau County, Florida, USA"
