World Rank,Institution,Country,National Rank,Quality of Education Rank,Alumni Employment Rank,Quality of Faculty Rank,Research Performance Rank,Score
241,University of Sussex,United Kingdom,21,111.0,505.0,81.0,352.0,77.8
242,"University of California, Riverside",USA,82,376.0,0.0,218.0,223.0,77.8
243,University of Bordeaux,France,14,0.0,1190.0,0.0,184.0,77.7
244,University of Texas Health Science Center at Houston,USA,83,0.0,0.0,149.0,268.0,77.7
245,University of Leicester,United Kingdom,22,0.0,0.0,100.0,288.0,77.7
246,University of Reading,United Kingdom,23,119.0,117.0,110.0,401.0,77.7
247,Complutense University of Madrid,Spain,3,200.0,166.0,220.0,280.0,77.7
248,Jilin University,China,21,0.0,424.0,0.0,195.0,77.6
249,Nankai University,China,22,0.0,129.0,0.0,240.0,77.6
250,Maastricht University,Netherlands,9,0.0,1397.0,0.0,190.0,77.6
251,"University of Tennessee, Knoxville",USA,84,423.0,461.0,0.0,199.0,77.6
252,HEC Paris,France,15,0.0,5.0,0.0,0.0,77.6
253,South China University of Technology,China,23,0.0,296.0,0.0,208.0,77.6
254,Virginia Commonwealth University,USA,85,0.0,989.0,112.0,296.0,77.5
255,Colorado State University,USA,86,455.0,1309.0,206.0,254.0,77.5
256,Tongji University,China,24,0.0,196.0,0.0,234.0,77.5
257,University of Houston,USA,87,0.0,164.0,122.0,340.0,77.5
258,University of Florence,Italy,7,0.0,753.0,0.0,202.0,77.5
259,Delft University of Technology,Netherlands,10,264.0,422.0,0.0,215.0,77.4
260,Southeast University,China,25,0.0,874.0,0.0,203.0,77.4
261,University of Tsukuba,Japan,11,0.0,0.0,144.0,291.0,77.4
262,University of Auckland,New Zealand,1,503.0,435.0,0.0,219.0,77.4
263,University of Exeter,United Kingdom,24,378.0,673.0,0.0,212.0,77.4
264,National and Kapodistrian University of Athens,Greece,1,0.0,572.0,0.0,217.0,77.3
265,University of Pisa,Italy,8,310.0,1208.0,0.0,213.0,77.3
266,City University of Hong Kong,China,26,0.0,1018.0,0.0,210.0,77.3
267,Hong Kong Polytechnic University,China,27,0.0,280.0,0.0,235.0,77.3
268,Oregon Health & Science University,USA,88,0.0,0.0,0.0,211.0,77.3
269,University of Cape Town,South Africa,1,180.0,260.0,0.0,252.0,77.3
270,Oregon State University,USA,89,228.0,516.0,227.0,276.0,77.2
271,Virginia Tech,USA,90,483.0,342.0,0.0,231.0,77.2
272,University of East Anglia,United Kingdom,25,88.0,0.0,170.0,343.0,77.2
273,Central South University,China,28,0.0,243.0,0.0,243.0,77.2
274,University of Manitoba,Canada,11,326.0,266.0,191.0,294.0,77.2
275,Florida State University,USA,91,0.0,534.0,0.0,227.0,77.2
276,University of Bergen,Norway,3,365.0,0.0,0.0,224.0,77.1
277,"Soochow University, China",China,29,0.0,0.0,0.0,222.0,77.1
278,King Abdulaziz University,Saudi Arabia,1,0.0,1230.0,0.0,225.0,77.1
279,Leipzig University,Germany,21,205.0,0.0,200.0,283.0,77.1
280,University of Aberdeen,United Kingdom,26,287.0,706.0,155.0,312.0,77.1
281,University of Genoa,Italy,9,522.0,1088.0,243.0,259.0,77.0
282,Autonomous University of Madrid,Spain,4,0.0,981.0,0.0,226.0,77.0
283,University of Massachusetts Medical School,USA,92,0.0,0.0,85.0,365.0,77.0
284,"University of California, Santa Cruz",USA,93,364.0,1473.0,245.0,265.0,77.0
285,University of Lorraine,France,16,519.0,459.0,173.0,306.0,77.0
286,"University of Maryland, Baltimore",USA,94,0.0,0.0,0.0,230.0,77.0
287,National Autonomous University of Mexico,Mexico,1,397.0,1462.0,240.0,270.0,76.9
288,University of Valencia,Spain,5,0.0,1392.0,0.0,232.0,76.9
289,University College Dublin,Ireland,2,0.0,268.0,0.0,258.0,76.9
290,University of Antwerp,Belgium,5,0.0,486.0,0.0,247.0,76.9
291,University of Li??ge,Belgium,6,183.0,0.0,109.0,363.0,76.9
292,University of the Witwatersrand,South Africa,2,190.0,98.0,0.0,329.0,76.9
293,University at Buffalo,USA,95,0.0,610.0,0.0,245.0,76.8
294,Laval University,Canada,12,510.0,407.0,0.0,255.0,76.8
295,Medical University of Vienna,Austria,2,0.0,0.0,0.0,246.0,76.8
296,Beihang University,China,30,0.0,808.0,0.0,250.0,76.8
297,University of South Florida,USA,96,0.0,810.0,0.0,251.0,76.8
298,Wayne State University,USA,97,489.0,362.0,0.0,266.0,76.8
299,University of Delaware,USA,98,379.0,581.0,163.0,333.0,76.7
300,University of Pavia,Italy,10,464.0,760.0,220.0,292.0,76.7
301,University of Kentucky,USA,99,294.0,535.0,0.0,264.0,76.7
302,Louisiana State University,USA,100,470.0,345.0,0.0,271.0,76.7
303,Dalian University of Technology,China,31,0.0,295.0,0.0,272.0,76.7
304,King Abdullah University of Science and Technology,Saudi Arabia,2,0.0,0.0,157.0,338.0,76.7
305,University of New Mexico,USA,101,0.0,0.0,0.0,257.0,76.6
306,University of Nebraska�??Lincoln,USA,102,168.0,401.0,0.0,281.0,76.6
307,Washington State University,USA,103,0.0,927.0,185.0,320.0,76.6
308,China Europe International Business School,China,32,0.0,7.0,0.0,0.0,76.6
309,George Washington University,USA,104,400.0,180.0,0.0,289.0,76.6
310,University of Lille,France,17,0.0,0.0,0.0,261.0,76.6
311,University of Rome Tor Vergata,Italy,11,0.0,1524.0,0.0,263.0,76.5
312,Ruhr University Bochum,Germany,22,0.0,413.0,0.0,275.0,76.5
313,University of Duisburg-Essen,Germany,23,0.0,995.0,0.0,269.0,76.5
314,Southern Methodist University,USA,105,191.0,31.0,0.0,656.0,76.5
315,Queen's University,Canada,13,504.0,404.0,208.0,334.0,76.5
316,Hanyang University,South Korea,6,0.0,184.0,0.0,301.0,76.5
317,University of Porto,Portugal,2,499.0,710.0,0.0,278.0,76.5
318,Ulm University,Germany,24,0.0,999.0,0.0,277.0,76.4
319,Chinese Academy of Medical Sciences & Peking Union Medical College,China,33,0.0,0.0,0.0,279.0,76.4
320,Northeastern University,USA,106,317.0,179.0,0.0,326.0,76.4
321,University of York,United Kingdom,27,392.0,0.0,0.0,282.0,76.4
322,Friedrich Schiller University Jena,Germany,25,520.0,0.0,261.0,299.0,76.4
323,Durham University,United Kingdom,28,342.0,355.0,0.0,298.0,76.4
324,Ume?� University,Sweden,7,0.0,1389.0,268.0,297.0,76.3
325,Beijing Normal University,China,34,0.0,1249.0,0.0,285.0,76.3
326,University of Granada,Spain,6,0.0,0.0,0.0,287.0,76.3
327,University of South Carolina - Columbia,USA,107,0.0,589.0,0.0,293.0,76.3
328,London School of Economics and Political Science,United Kingdom,29,260.0,84.0,255.0,447.0,76.3
329,Polytechnic University of Milan,Italy,12,362.0,488.0,198.0,373.0,76.3
330,Dalhousie University,Canada,14,312.0,321.0,0.0,318.0,76.3
331,National Cheng Kung University,Taiwan,2,0.0,121.0,0.0,369.0,76.2
332,University of D?�sseldorf,Germany,26,216.0,0.0,0.0,305.0,76.2
333,Eindhoven University of Technology,Netherlands,11,0.0,929.0,228.0,346.0,76.2
334,Hunan University,China,35,0.0,593.0,0.0,308.0,76.2
335,Aalto University,Finland,2,0.0,214.0,0.0,341.0,76.2
336,Versailles Saint-Quentin-en-Yvelines University,France,18,0.0,0.0,0.0,300.0,76.2
337,Hannover Medical School,Germany,27,0.0,0.0,268.0,319.0,76.2
338,International Institute for Management Development,Switzerland,8,0.0,9.0,0.0,0.0,76.1
339,Simon Fraser University,Canada,15,0.0,1136.0,0.0,303.0,76.1
340,Beijing Institute of Technology,China,36,0.0,953.0,0.0,304.0,76.1
341,University of Dundee,United Kingdom,30,502.0,1072.0,143.0,415.0,76.1
342,University of St Andrews,United Kingdom,31,285.0,765.0,229.0,366.0,76.1
343,University of the Basque Country,Spain,7,0.0,1135.0,0.0,309.0,76.1
344,University of Milano-Bicocca,Italy,13,0.0,0.0,0.0,307.0,76.0
345,Lancaster University,United Kingdom,32,0.0,630.0,0.0,314.0,76.0
346,University of Electronic Science and Technology of China,China,37,0.0,647.0,0.0,313.0,76.0
347,University of Campinas,Brazil,2,0.0,0.0,0.0,310.0,76.0
348,University of Belgrade,Serbia,1,472.0,0.0,0.0,311.0,76.0
349,??cole des ponts ParisTech,France,19,167.0,24.0,0.0,972.0,76.0
350,City College of New York,USA,108,22.0,437.0,0.0,792.0,76.0
351,University of Otago,New Zealand,2,0.0,837.0,0.0,315.0,75.9
352,Temple University,USA,109,0.0,601.0,0.0,325.0,75.9
353,Albert Einstein College of Medicine,USA,110,0.0,0.0,0.0,317.0,75.9
354,Aalborg University,Denmark,4,0.0,820.0,0.0,321.0,75.9
355,Ben-Gurion University of the Negev,Israel,5,0.0,0.0,212.0,378.0,75.9
356,University of Buenos Aires,Argentina,1,319.0,1347.0,0.0,324.0,75.9
357,Queen's University Belfast,United Kingdom,33,398.0,937.0,0.0,322.0,75.9
358,Vrije Universiteit Brussel,Belgium,7,443.0,1577.0,0.0,323.0,75.8
359,Drexel University,USA,111,0.0,264.0,232.0,400.0,75.8
360,Federal University of Rio de Janeiro,Brazil,3,445.0,440.0,0.0,336.0,75.8
361,University of Southern Denmark,Denmark,5,0.0,1515.0,0.0,327.0,75.8
362,Link??ping University,Sweden,8,0.0,654.0,0.0,330.0,75.8
363,Curtin University,Australia,9,0.0,1297.0,0.0,328.0,75.8
364,University of Marburg,Germany,28,159.0,1498.0,183.0,423.0,75.8
365,University of Parma,Italy,14,286.0,949.0,89.0,503.0,75.8
366,Lanzhou University,China,38,0.0,1053.0,0.0,331.0,75.7
367,China Agricultural University,China,39,0.0,1214.0,0.0,335.0,75.7
368,Pohang University of Science and Technology,South Korea,7,0.0,0.0,0.0,337.0,75.7
369,National Research Center ?�Kurchatov Institute?�,Russia,3,0.0,0.0,0.0,339.0,75.7
370,Technical University of Berlin,Germany,29,178.0,619.0,0.0,358.0,75.7
371,King Saud University,Saudi Arabia,3,0.0,349.0,0.0,356.0,75.7
372,Islamic Azad University,Iran,1,0.0,0.0,0.0,342.0,75.7
373,Justus Liebig University Giessen,Germany,30,0.0,0.0,0.0,344.0,75.6
374,University of Ljubljana,Slovenia,1,0.0,0.0,0.0,345.0,75.6
375,University of Innsbruck,Austria,3,0.0,746.0,248.0,387.0,75.6
376,Jagiellonian University,Poland,1,0.0,0.0,0.0,347.0,75.6
377,Pontifical Catholic University of Chile,Chile,1,500.0,198.0,0.0,393.0,75.6
378,University of Oregon,USA,112,127.0,0.0,0.0,388.0,75.6
379,University of Technology Sydney,Australia,10,0.0,1069.0,0.0,348.0,75.6
380,Macquarie University,Australia,11,0.0,555.0,0.0,359.0,75.5
381,University of Turku,Finland,3,0.0,1493.0,0.0,349.0,75.5
382,National Tsing Hua University,Taiwan,3,370.0,834.0,0.0,355.0,75.5
383,Medical University of South Carolina,USA,113,0.0,0.0,0.0,350.0,75.5
384,East China Normal University,China,40,0.0,426.0,0.0,368.0,75.5
385,University of Victoria,Canada,16,0.0,1484.0,0.0,351.0,75.5
386,Chongqing University,China,41,0.0,538.0,0.0,364.0,75.5
387,University of Perugia,Italy,15,0.0,0.0,0.0,353.0,75.5
388,Deakin University,Australia,12,0.0,987.0,0.0,354.0,75.4
389,University of Regensburg,Germany,31,0.0,904.0,0.0,360.0,75.4
390,Griffith University,Australia,13,0.0,1332.0,0.0,357.0,75.4
391,Kyung Hee University,South Korea,8,0.0,962.0,0.0,362.0,75.4
392,"University of Oklahoma, Norman",USA,114,0.0,374.0,0.0,376.0,75.4
393,East China University of Science and Technology,China,42,0.0,0.0,0.0,361.0,75.4
394,University of Warsaw,Poland,2,479.0,974.0,0.0,367.0,75.4
395,Pompeu Fabra University,Spain,8,0.0,1284.0,0.0,370.0,75.4
396,University of Wollongong,Australia,14,0.0,642.0,0.0,374.0,75.3
397,University of Malaya,Malaysia,1,0.0,467.0,0.0,382.0,75.3
398,University of Newcastle,Australia,15,0.0,1307.0,0.0,371.0,75.3
399,University of Texas at Dallas,USA,115,368.0,582.0,0.0,379.0,75.3
400,Chalmers University of Technology,Sweden,9,505.0,290.0,0.0,397.0,75.3
401,Queensland University of Technology,Australia,16,0.0,1146.0,0.0,372.0,75.3
402,Kyungpook National University,South Korea,9,0.0,977.0,0.0,375.0,75.3
403,"University at Albany, SUNY",USA,116,208.0,727.0,211.0,454.0,75.2
404,Swedish University of Agricultural Sciences,Sweden,10,288.0,1315.0,0.0,381.0,75.2
405,University of Seville,Spain,9,0.0,1400.0,0.0,377.0,75.2
406,Vienna University of Technology,Austria,4,402.0,557.0,0.0,389.0,75.2
407,University of Coimbra,Portugal,3,417.0,1247.0,0.0,383.0,75.2
408,University of Bari,Italy,16,0.0,0.0,0.0,380.0,75.2
409,Aristotle University of Thessaloniki,Greece,2,0.0,1563.0,0.0,384.0,75.2
410,University of Science and Technology Beijing,China,43,0.0,203.0,0.0,426.0,75.2
411,University of Twente,Netherlands,12,0.0,1006.0,0.0,386.0,75.1
412,Amherst College,USA,117,21.0,49.0,0.0,0.0,75.1
413,Northwestern Polytechnical University,China,44,0.0,687.0,0.0,392.0,75.1
414,University of Saskatchewan,Canada,17,281.0,652.0,0.0,399.0,75.1
415,Indian Institute of Management Ahmedabad,India,1,360.0,11.0,0.0,0.0,75.1
416,University of Tasmania,Australia,17,0.0,0.0,0.0,390.0,75.1
417,University of C??te d'Azur,France,20,0.0,0.0,0.0,391.0,75.1
418,Tampere University,Finland,4,0.0,502.0,0.0,404.0,75.1
419,University of Ulsan,South Korea,10,0.0,744.0,0.0,396.0,75.0
420,Indiana University �?? Purdue University Indianapolis,USA,118,0.0,803.0,0.0,402.0,75.0
421,S?�o Paulo State University,Brazil,4,0.0,0.0,0.0,394.0,75.0
422,Zhengzhou University,China,45,0.0,1068.0,0.0,395.0,75.0
423,Texas Tech University,USA,119,0.0,492.0,0.0,407.0,75.0
424,Hiroshima University,Japan,12,0.0,1162.0,0.0,398.0,75.0
425,Thomas Jefferson University,USA,120,0.0,0.0,0.0,403.0,75.0
426,Capital Medical University,China,46,0.0,0.0,0.0,405.0,75.0
427,York University,Canada,18,0.0,300.0,0.0,427.0,75.0
428,China University of Geosciences,China,47,0.0,983.0,0.0,406.0,74.9
429,Kansas State University,USA,121,346.0,487.0,0.0,417.0,74.9
430,Chonnam National University,South Korea,11,0.0,1236.0,0.0,408.0,74.9
431,University of Stuttgart,Germany,32,122.0,285.0,0.0,474.0,74.9
432,Stockholm School of Economics,Sweden,11,0.0,20.0,264.0,1795.0,74.9
433,Catholic University of the Sacred Heart,Italy,17,0.0,1245.0,0.0,410.0,74.9
434,University of Mississippi,USA,122,0.0,0.0,0.0,409.0,74.9
435,Stellenbosch University,South Africa,3,0.0,187.0,0.0,455.0,74.9
436,University of Chile,Chile,2,0.0,602.0,0.0,414.0,74.8
437,University of Trieste,Italy,18,0.0,978.0,0.0,412.0,74.8
438,Okayama University,Japan,13,340.0,646.0,0.0,418.0,74.8
439,University of Clermont Auvergne,France,21,0.0,0.0,0.0,411.0,74.8
440,Kobe University,Japan,14,296.0,438.0,0.0,430.0,74.8
441,Tulane University,USA,123,217.0,332.0,0.0,444.0,74.8
442,Shenzhen University,China,48,0.0,816.0,0.0,413.0,74.8
443,Saint Louis University,USA,124,0.0,277.0,187.0,527.0,74.8
444,University of Bath,United Kingdom,34,0.0,580.0,0.0,424.0,74.7
445,University of Texas Health Science Center at San Antonio,USA,125,0.0,0.0,0.0,419.0,74.7
446,University of Oulu,Finland,5,0.0,628.0,0.0,429.0,74.7
447,Vita-Salute San Raffaele University,Italy,19,0.0,0.0,0.0,420.0,74.7
448,University of Navarra,Spain,10,0.0,105.0,254.0,577.0,74.7
449,Pusan National University,South Korea,12,0.0,429.0,0.0,434.0,74.7
450,University of Trento,Italy,20,0.0,0.0,0.0,421.0,74.7
451,Medical College of Wisconsin,USA,126,0.0,0.0,0.0,422.0,74.7
452,University of Eastern Finland,Finland,6,0.0,0.0,0.0,425.0,74.7
453,University of Zaragoza,Spain,11,490.0,1027.0,0.0,428.0,74.6
454,Martin Luther University Halle-Wittenberg,Germany,33,434.0,0.0,250.0,458.0,74.6
455,National Chiao Tung University,Taiwan,4,0.0,237.0,0.0,460.0,74.6
456,University of Catania,Italy,21,337.0,0.0,0.0,432.0,74.6
457,University of Colorado Denver,USA,127,0.0,0.0,0.0,431.0,74.6
458,University of Vermont,USA,128,0.0,506.0,0.0,443.0,74.6
459,Indian Institute of Science,India,2,341.0,782.0,0.0,436.0,74.6
460,University of Guelph,Canada,19,0.0,1107.0,0.0,433.0,74.6
461,University of Alabama - Tuscaloosa,USA,129,440.0,222.0,0.0,478.0,74.6
462,Syracuse University,USA,130,165.0,202.0,0.0,509.0,74.5
463,University of Central Florida,USA,131,0.0,1056.0,0.0,435.0,74.5
464,Polytechnic University of Catalonia,Spain,12,0.0,511.0,0.0,448.0,74.5
465,University of Louisville,USA,132,0.0,781.0,0.0,442.0,74.5
466,Shanghai University,China,49,0.0,1060.0,0.0,437.0,74.5
467,University of Santiago de Compostela,Spain,13,0.0,895.0,0.0,440.0,74.5
468,University of Siena,Italy,22,0.0,1353.0,0.0,438.0,74.5
469,Florida International University,USA,133,0.0,1371.0,0.0,439.0,74.5
470,Nanjing Agricultural University,China,50,0.0,1385.0,0.0,441.0,74.5
471,Nanjing University of Aeronautics and Astronautics,China,51,0.0,1067.0,0.0,445.0,74.4
472,Nanjing University of Science and Technology,China,52,0.0,655.0,0.0,449.0,74.4
473,George Mason University,USA,134,0.0,1410.0,237.0,500.0,74.4
474,Federal University of Rio Grande do Sul,Brazil,5,0.0,1380.0,0.0,446.0,74.4
475,University of Strathclyde,United Kingdom,35,0.0,358.0,0.0,463.0,74.4
476,Scuola Normale Superiore di Pisa,Italy,23,87.0,0.0,239.0,581.0,74.4
477,Technical University of Darmstadt,Germany,34,339.0,621.0,0.0,453.0,74.4
478,Joint Institute for Nuclear Research,Russia,4,0.0,0.0,0.0,450.0,74.4
479,University of Rostock,Germany,35,431.0,0.0,0.0,452.0,74.4
480,Beijing University of Chemical Technology,China,53,0.0,1344.0,0.0,451.0,74.3
481,??cole normale sup??rieure de Lyon,France,22,383.0,0.0,267.0,479.0,74.3
482,James Cook University,Australia,18,0.0,1125.0,0.0,456.0,74.3
483,University of KwaZulu-Natal,South Africa,4,491.0,375.0,0.0,480.0,74.3
484,Chulalongkorn University,Thailand,1,0.0,107.0,0.0,573.0,74.3
485,Oklahoma State University,USA,135,0.0,508.0,0.0,470.0,74.3
486,University of Oviedo,Spain,14,0.0,947.0,0.0,457.0,74.3
487,Ioffe Physical-Technical Institute of the Russian Academy of Sciences,Russia,5,38.0,0.0,217.0,903.0,74.3
488,Polytechnic University of Valencia,Spain,15,0.0,1535.0,0.0,459.0,74.3
489,Rovira i Virgili University,Spain,16,0.0,1432.0,0.0,461.0,74.2
490,Leibniz University Hannover,Germany,36,0.0,864.0,0.0,465.0,74.2
491,Huazhong Agricultural University,China,54,0.0,1500.0,0.0,464.0,74.2
492,Xidian University,China,55,357.0,1076.0,0.0,468.0,74.2
493,West Virginia University,USA,136,0.0,352.0,0.0,494.0,74.2
494,Nanjing Medical University,China,56,0.0,0.0,0.0,466.0,74.2
495,Baylor University,USA,137,0.0,396.0,0.0,487.0,74.2
496,Savoie Mont Blanc University,France,23,0.0,0.0,0.0,467.0,74.2
497,Technical University of Dortmund,Germany,37,0.0,0.0,0.0,469.0,74.2
498,Lehigh University,USA,138,166.0,61.0,0.0,763.0,74.1
499,University of Hawaii at Manoa,USA,139,396.0,1211.0,0.0,475.0,74.1
500,La Trobe University,Australia,19,0.0,1159.0,0.0,472.0,74.1
501,University of Ferrara,Italy,24,0.0,0.0,0.0,471.0,74.1
502,Rush University,USA,140,0.0,0.0,0.0,473.0,74.1
503,Federal University of Minas Gerais,Brazil,6,0.0,609.0,0.0,483.0,74.1
504,University of Tennessee Health Science Center,USA,141,0.0,0.0,0.0,476.0,74.1
505,Swarthmore College,USA,142,16.0,257.0,0.0,0.0,74.1
506,Novosibirsk State University,Russia,6,403.0,1399.0,0.0,477.0,74.1
507,Boston College,USA,143,0.0,135.0,0.0,559.0,74.1
508,University of Modena and Reggio Emilia,Italy,25,0.0,917.0,0.0,481.0,74.0
509,Western Sydney University,Australia,20,0.0,1547.0,0.0,482.0,74.0
510,University of Surrey,United Kingdom,36,401.0,469.0,0.0,501.0,74.0
511,University of Hull,United Kingdom,37,193.0,302.0,134.0,707.0,74.0
512,University of Troms?? �?? The Arctic University of Norway,Norway,4,0.0,0.0,0.0,484.0,74.0
513,Northwest A&F University,China,57,0.0,0.0,0.0,485.0,74.0
514,NOVA University of Lisbon,Portugal,4,0.0,0.0,0.0,486.0,74.0
515,"Royal Holloway, University of London",United Kingdom,38,405.0,1004.0,222.0,555.0,74.0
516,University of Canterbury,New Zealand,3,355.0,425.0,241.0,553.0,74.0
517,University College Cork,Ireland,3,0.0,805.0,0.0,490.0,74.0
518,Wuhan University of Technology,China,58,0.0,997.0,0.0,488.0,73.9
519,University of Potsdam,Germany,38,0.0,0.0,0.0,489.0,73.9
520,University of Tehran,Iran,2,424.0,0.0,0.0,491.0,73.9
521,University of Tartu,Estonia,1,459.0,0.0,0.0,492.0,73.9
