,Date,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,original order
282,2015-05-24,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,13,N,Unknown,Other,5813
283,2015-05-20,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,N,10h30,5' shark,5812
284,2015-05-15,Unprovoked,USA,South Carolina,Sullivan's Island,Unknown,M,30,N,14h15,6' shark,5811
285,2015-05-09,Unprovoked,NEW CALEDONIA,Other,Kouare,Snorkeling,M,50,Y,Unknown,"Bull shark, 3.5 m",5810
286,2015-05-07,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,-1,N,15h00,Other,5809
287,2015-05-03,Unprovoked,AUSTRALIA,New South Wales,Saltwater Beach,Surfing,M,-1,N,15h00,White shark,5808
288,2015-05-02,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Diving,M,29,N,13h00,"White shark, 3.5 m",5807
289,2015-04-29,Unprovoked,USA,Hawaii,Kanahena Cove,Snorkeling,F,65,Y,09h00,Other,5806
290,2015-04-26,Unprovoked,USA,Florida,"Resident's Beach, Marco Island",Wading,M,63,N,16h30,3- to 4-foot shark,5805
291,2015-04-25,Unprovoked,AUSTRALIA,South Australia,Fishery Bay,Surfing,M,26,N,09h45,"White shark, 6 m",5804
292,2015-06-24,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",Surf skiing,M,71,N,11h00,"White shark, 3 m",5803
293,2015-04-13,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Photographing the shark,M,48,N,Unknown,"Blue shark, 8 to 9 feet",5802
294,2015-04-12,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,M,13,Y,09h00,Bull shark,5801
295,2015-04-03,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County",Spearfishing,M,70,N,Unknown,Bull shark,5800
296,2015-04-11,Unprovoked,AUSTRALIA,New South Wales,McKenzies Beach,Paddle boarding,M,-1,N,07h30,Other,5799
297,2015-03-29,Invalid,ITALY,Sardinia,Other,Diving,M,43,Y,Unknown,Shark involvement not cofirmed,5798
298,2015-03-31,Invalid,BRAZIL,Pernambuco,"Praia del Chifre, Olinda",Surfing,M,23,N,11h00,No shark involvement,5797
299,2015-03-26,Boat,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Kayak Fishing,M,36,N,Unknown,"White shark, 4 m",5796
300,2015-03-21,Unprovoked,EGYPT,Other,Marsa Alam,Swimming,M,52,Y,Unknown,Mako shark,5795
301,2015-03-18,Unprovoked,USA,Hawaii,Hapuna Beach,Standing / Snorkeling,M,58,N,11h45,"Tiger shark, 8 to 12 feet",5794
302,2015-03-16,Unprovoked,FRENCH POLYNESIA,Bora Bora,Anau,Hand feeding sharks,M,9,N,10h00,Blacktip shark,5793
303,2015-03-11,Boat,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,-1,N,Unknown,Other,5792
304,2015-03-10,Provoked,MEXICO,Sinaloa,Mazlatan,Fishing,M,36,N,10h20,Other,5791
305,2015-03-07,Unprovoked,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,M,1.5,N,Unknown,Blacktip Reef shark,5790
306,2015-02-15,Boat,ATLANTIC OCEAN,Other,Other,Transatlantic Rowing,Unknown,-1,N,Unknown,White shark,5789
307,2015-02-14,Unprovoked,REUNION,d’Étang-Salé,Ravine Mula,Swimming,F,22,Y,18h30,"Tiger shark, 3.5 m",5788
308,2015-02-09,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,41,Y,10h00,3.5 to 4 m shark,5787
309,2015-02-08,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,35,N,06h45,2 m to  3 m shark,5786
310,2015-02-05,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Bodysurfing,M,-1,N,Unknown,1.8 m shark,5785
311,2015-01-30,Boat,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",Rowing,M,57,N,05h00,"Bull shark, 1.3 m",5784
312,2015-01-27,Provoked,USA,Hawaii,Lahaina,Shark fishing,M,20,N,03h30,4' shark,5783
313,2015-01-24,Unprovoked,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,-1,N,Unknown,Other,5782
314,2015-01-23,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon Beach,Floating,M,24,N,Unknown,Other,5781
315,2015-01-19,Boat,USA,Florida,Off Panama City,Fishing,M,-1,N,Unknown,White shark,5780
316,2015-01-19,Invalid,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing & filming dolphins,F,-1,N,Unknown,Shark involvement not confirmed,5779
317,2015-01-17,Boat,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,-1,N,13h45,5 m shark,5778
318,2015-01-16,Unprovoked,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17,N,Unknown,1.5 m shark,5777
319,2015-01-08,Invalid,USA,Florida,Other,Swimming after falling overboard,M,38,N,Unknown,No shark involvement,5776
320,2015-01-06,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34,N,16h00,White shark or oceanic whitetip shark,5775
321,2015-01-03,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,M,15,N,08h00,"Raggedtooth shark, 1.3 m",5774
322,2015-01-01,Unprovoked,USA,Florida,"Windsor Beach, Indian River County",Unknown,M,12,N,Unknown,"""A small shark""",5773
323,2014-12-29,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach,Surfing,Unknown,-1,N,Unknown,2 m shark,5772
324,2014-12-29,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,M,17,Y,Unknown,"White shark, 4 to 5 m",5771
325,2014-12-28,Sea Disaster,GREECE,Other,33 nautical miles off Othonoi Island,Unknown,Unknown,-1,N,Unknown,Shark involvement prior to death still to be determined,5770
326,2014-12-28,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,Swimming,Unknown,-1,N,Unknown,Shark involvement not confirmed & highly unlikely,5769
327,2014-12-28,Unprovoked,USA,California,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,M,50,N,11h30,"White shark, 8' to 10'",5768
328,2014-12-28,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,M,40,N,Unknown,1.5 m shark,5767
329,2014-12-23,Unprovoked,JAPAN,Other,Other,Diving / Filming,M,-1,N,Unknown,Goblin shark,5766
330,2014-12-15,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Spearfishing,M,17,Y,11h30,Tiger shark,5765
331,2014-12-03,Provoked,SPAIN,Granada,Off Motril,Fishing for blue sharks,M,-1,N,07h00,Other,5764
332,2014-11-29,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,13,N,06h00,Other,5763
333,2014-11-20,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),Other,Fishing,M,39,Y,Unknown,Other,5762
334,2014-11-19,Boat,AUSTRALIA,Western Australia,Freo,Fishing,M,-1,N,Unknown,White shark,5761
335,2014-11-17,Boat,USA,California,"Franklin Point, San Mateo County",Unknown,Unknown,-1,N,Unknown,White shark,5760
336,2014-11-16,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,44,N,13h00,2' shark,5759
337,2014-11-13,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,53,N,13h30,1.5 m shark,5758
338,2014-11-10,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach,Surfing,M,-1,N,06h30,Other,5757
339,2014-11-08,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,18,N,16h30,Other,5756
340,2014-10-31,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,34,N,11h00,"Tiger shark, 12'",5755
341,2014-10-29,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,20,N,18h00,Other,5754
342,2014-10-22,Unprovoked,USA,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,F,-1,N,10h00,Tiger shark,5753
343,2014-10-20,Unprovoked,USA,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,M,-1,N,08h00,Other,5752
344,2014-10-19,Boat,USA,California,"Leadbetter Beach, Santa Barbara County",Canoeing,F,-1,N,Unknown,Other,5751
345,2014-10-18,Unprovoked,USA,Hawaii,"Maalaea, South Maui",Surfing,M,-1,N,11h15,12' to 14' shark,5750
346,2014-10-17,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,13,N,06h30,1 m shark,5749
347,2014-10-14,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,7,N,Unknown,"Bull shark, 3' to 4'",5748
348,2014-10-12,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,F,-1,N,15h30,Other,5747
349,2014-10-11,Boat,AUSTRALIA,Western Australia,"Castle Rock, north of Dunsborough",Kayaking,M,-1,N,17h20,Other,5746
350,2014-10-05,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,N,11h30,Blacktip shark,5745
351,2014-10-07,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",Fishing,F,40,N,Unknown,Other,5744
352,2014-10-05,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,N,11h00,Blacktip shark,5743
353,2014-10-03,Boat,USA,California,Santa Barbara County,Kayaking,M,-1,N,14h00,"White shark, 18' to 20'",5742
354,2014-10-03,Boat,USA,California,Santa Barbara County,Kayaking,M,-1,N,11h30,White shark,5741
355,2014-10-02,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,28,N,17h30,8' to 10' shark,5740
356,2014-10-02,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23,N,11h00,"2 white shark: 13' & 9""8""",5739
357,2014-09-21,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,-1,N,11h30,Other,5738
358,2014-09-12,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Feeding fish,F,36,N,Unknown,Blacktip shark,5737
359,2014-09-13,Invalid,USA,California,"Manresa State Beach, Santa Cruz County",Surfing,M,-1,N,18h45,No shark involvement,5736
360,2014-09-09,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,50,Y,10h45,7' shark,5735
361,2014-09-06,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing,M,43,N,13h00,Bull shark,5734
362,2014-09-03,Unprovoked,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking,F,20,N,18h00,"White shark, 12' to 14'",5733
363,2014-09-02,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,52,N,20h00,3' to 4' shark,5732
364,2020-09-14,Unprovoked,SPAIN,Catalonia,Salou,Playing with an air mattress,M,16,N,Unknown,Other,5731
365,2014-08-31,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,13,N,16h40,Spinner shark,5730
366,2014-08-29,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,N,Unknown,Spinner shark or blacktip shark,5729
367,2014-08-29,Invalid,USA,Florida,"Atlantic Beach, Duval County",Unknown,Unknown,-1,N,16h18,Shark involvement not confirmed,5728
368,2014-08-28,Provoked,USA,Maryland,Assateague National Seashore,Fishing,M,33,N,Unknown,Other,5727
369,2014-08-27,Unprovoked,SPAIN,Alicante,Benidorm,Swimming,F,30,N,Unknown,small shark,5726
370,2014-08-27,Unprovoked,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,29,N,Unknown,4' to 6' shark,5725
371,2014-08-27,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County",Standing,F,-1,N,15h00,Other,5724
372,2014-08-25,Provoked,USA,Florida,Apalachicola Bay,Fishing for sharks,M,-1,N,Unknown,"Bull shark, 4.5' ",5723
373,2014-08-24,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,Unknown,-1,N,Unknown,4' shark,5722
374,2014-08-16,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Spearfishing,M,31,N,Unknown,reef shark,5721
375,2014-08-12,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,M,-1,N,11h10," Bull shark, 8'",5720
376,2014-08-10,Unprovoked,USA,Florida,"Hallandale Beach, Broward County",Unknown,M,26,N,Unknown,Other,5719
377,2014-08-09,Unprovoked,BAHAMAS,Other,Other,Spearfishing,M,-1,N,Unknown,"Bull shark, 9' to 10'",5718
378,2014-08-09,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,10,N,13h30,Other,5717
379,2014-08-08,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,7,N,Unknown," Bull shark, 5'",5716
380,2014-08-06,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,10,N,14h00,4' tp 5' shark,5715
381,2014-08-05,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,45,N,Unknown,Other,5714
382,2014-08-02,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,50,N,Unknown,Other,5713
383,2014-08-02,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boogie boarding,M,8,N,13h00,Other,5712
384,2014-08-01,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,20,N,14h00,White shark,5711
385,2020-08-14,Invalid,Other,Other,Other,Sea disaster,M,-1,Y,Unknown,Shark involvement not confirmed,5710
386,2014-07-27,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County",Swimming,M,15.0,N,Unknown,Possibly juvenile tiger shark,5709
387,2014-07-22,Unprovoked,REUNION,Saint-Leu,Other,Surfing,M,51,N,15h00,1.8 metre shark,5708
388,2014-07-21,Unprovoked,USA,Florida,"Indialantic, Brevard County",Standing,M,8,N,Unknown,Other,5707
389,2014-07-20,Unprovoked,SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife",Wading,Unknown,-1,N,Unknown,Angel shark,5706
390,2014-07-16,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,M,61,N,17h50,6' to 8' shark,5705
391,2014-07-14,Unprovoked,USA,Florida,Okaloosa Island,Swimming,M,39,N,14h30,4' shark,5704
392,2014-07-13,Invalid,BAHAMAS,West End,Tiger Beach,Shark diving,M,63,Y,Unknown,Shark involvement not confirmed,5703
393,2014-07-12,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Body surfing,M,-1,N,Unknown,Other,5702
394,2014-07-09,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,N,14h00,Other,5701
395,2014-07-05,Provoked,USA,California,"Manhattan Beach, Los Angeles County",Swimming,M,-1,N,09h30," White shark, 7' ",5700
396,2014-07-05,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,-1,N,07h00,Other,5699
397,2014-07-03,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,19,N,18h15,4' to 5' shark,5698
398,2014-06-27,Boat,ST. MARTIN,Other,20 miles from shore,Transatlantic Rowing,M,48,N,Unknown,Oceanic whitetip shark',5697
399,2014-06-25,Unprovoked,BAHAMAS,Abaco Islands,Other,Spearfishing,M,42,N,13h00,"Caribbean reef shark, 7' to 8'",5696
400,2014-06-18,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,-1,N,17h01,Other,5695
401,2014-06-18,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,M,15,N,17h00,Other,5694
402,2014-06-17,Provoked,AUSTRALIA,Western Australia,Horizontal Falls,Petting a shark,M,-1,N,Unknown," Lemon shark, 3.5 m",5693
403,2014-06-09,Unprovoked,BRAZIL,Other,500 km off the coast of Pernambuco,Fishing,M,43,N,Unknown,Other,5692
404,2014-06-09,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,M,16,N,17h00," Sandbar shark, 3' to 4'",5691
405,2014-06-09,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,M,39,N,09h45,"Bronze whaler shark, 1.5m",5690
406,2014-06-08,Unprovoked,JAPAN,Atsumi peninsula,Aichi,Surfing,M,43,N,Unknown,Other,5689
407,2014-06-07,Unprovoked,USA,Texas,"West Beach, Galveston",Kneeling in the water,F,14,N,Unknown,Other,5688
408,2014-06-01,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,F,22,N,13h30,Bull shark,5687
409,2014-06-01,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,-1,N,Unknown,Other,5686
410,2014-06-01,Unprovoked,USA,Palmyra Atoll,Other,Tagging sharks,F,37,N,Unknown,Blacktip Reef shark,5685
411,2014-05-24,Unprovoked,AUSTRALIA,Queensland,Nerang River near Chevron Island,Fell into the water,F,29,N,Unknown," Bull shark, 1.2m ",5684
412,2014-05-23,Unprovoked,FRANCE,Wallis and Futuna,Wallis Island,Scuba diving,M,-1,N,Unknown,3m shark,5683
413,2014-05-22,Provoked,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,M,10,N,Unknown," Tawney nurse shark, 1m",5682
414,2015-11-16,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,-1,N,Unknown,Other,5681
415,2014-05-15,Unprovoked,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,F,38,N,11h30,Other,5680
416,2014-05-14,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,M,35,N,09h30," white shark, 15' ",5679
417,2014-05-13,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,F,44,N,11h00,Other,5678
418,2014-05-11,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing,M,12,N,Unknown,Shark involvement not confirmed,5677
419,2014-05-10,Invalid,USA,Florida,"Bethel Shoals, Indian River County",Diving,M,-1,N,Unknown,No shark involvement,5676
420,2014-05-06,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,F,40,N,15h00,4' to 5' shark,5675
421,2014-05-04,Unprovoked,SOUTH AFRICA,Western Cape Province,Simonstown,Diving,Unknown,-1,N,Unknown,Cow shark,5674
422,2014-05-01,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,N,15h00,3' shark,5673
423,2014-04-24,Unprovoked,AUSTRALIA,Western Australia,"South Passage, south of Coral Bay",Spearfishing,M,-1,N,Unknown,reef shark?,5672
424,2014-04-22,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,42,N,15h30,Other,5671
425,2014-04-15,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,25,N,09h57,Other,5670
426,2014-04-12,Boat,SOUTH AFRICA,Other,Other,Shark watching,Unknown,-1,N,Unknown,White shark,5669
427,2014-04-12,Provoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,M,-1,N,Unknown," Raggedtooth shark, 2m",5668
428,2014-04-04,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15.0,N,13h50,Other,5667
429,2014-04-04,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15.0,N,13h30,Other,5666
430,2014-04-03,Unprovoked,AUSTRALIA,New South Wales,Tathra,Swimming,F,63,Y,08h20,3 m to 4 m white shark,5665
431,2014-03-29,Invalid,AUSTRALIA,Western Australia,Off Dawesville Cut,Diving for lobsters,M,38,Y,13h30,Other,5664
432,2014-03-22,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St Johns",Swimming,M,66,Y,15h00,2 m shark,5663
433,2014-03-22,Unprovoked,USA,Florida,Delray Beach,Kite Surfing,M,-1,N,Unknown,4' to 5' shark,5662
434,2014-03-21,Unprovoked,USA,Florida,Macarthur State Park,Surfing,M,9,N,Unknown,Other,5661
435,2014-03-18,Unprovoked,NEW CALEDONIA,Baie de Sainte-Marie,Other,Kite Surfing,M,42,N,17h58,Other,5660
436,2014-03-18,Unprovoked,AUSTRALIA,Victoria,Winkipop Beach,Surfing,M,42,N,Unknown,Other,5659
437,2014-03-18,Invalid,AUSTRALIA,New South Wales,Lennox Head,Unknown,F,10,N,17h00,No shark involvement,5658
438,2014-03-12,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Swimming,M,-1,N,18h00,Wobbegong shark,5657
439,2014-03-13,Invalid,CAYMAN ISLANDS,Other,Other,Scuba diving / culling lionfish,M,-1,N,Unknown,Other,5656
440,2014-03-02,Unprovoked,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,M,21,N,Unknown,Blacktip or spinner shark?,5655
441,2014-02-20,Unprovoked,FRENCH POLYNESIA,Society Islands,Huahine,Kitesurfing,M,21,N,16h00,Blacktip reef shark,5654
442,2014-02-17,Boat,PAPUA NEW GUINEA,Other,Other,Sailing,M,21,N,Unknown,Other,5653
443,2014-02-08,Unprovoked,AUSTRALIA,South Australia,"Goldsmith Beach, Yorke Peninsula",Spearfishing / Free diving,M,28,Y,12h00,Other,5652
444,2014-02-07,Provoked,TRINIDAD & TOBAGO,Trinidad,Other,Fishing,M,-1,N,Unknown,Other,5651
445,2014-02-07,Unprovoked,NEW ZEALAND,South Island,Porpoise Bay,Surfing,M,28,N,20h30,7-gill shark?,5650
446,2014-01-26,Provoked,AUSTRALIA,New South Wales,Umina Beach,Fishing,M,-1,N,Unknown,1m shark,5649
447,2014-01-25,Unprovoked,NEW ZEALAND,South Island,Garden Bay near Cosy Nook,Spearfishing,M,24,N,Unknown,7-gill shark,5648
448,2014-01-04,Sea Disaster,JAPAN,Okinawa Prefecture,Off Miyako Island,Sea disaster,M,31,N,Unknown,Other,5647
449,1905-07-06,Boat,NEW ZEALAND,Other,Stewart Island,Filming a documentary,Unknown,-1,N,Unknown,"White shark, 6 m",5646
450,2013-12-25,Unprovoked,NEW CALEDONIA,North Province,"Lindéralique, Hienghène",Snorkeling,M,37,N,11h00,Reported to involve a bull shark,5645
451,2013-12-16,Unprovoked,SOUTH AFRICA,Western Cape Province,Die Platt,Surfing,M,19,N,08h45,"White shark, 3m ",5644
452,2013-12-13,Unprovoked,KIRIBATI,740 miles SE of Tarawa Atoll,Other,Attempting to remove fishing net from submerged object,M,35,N,Unknown,Other,5643
453,2013-12-11,Unprovoked,USA,Hawaii,"Ninole Bay, Hawaii County",Boogie boarding,M,29,N,08h00,"Tiger shark, 10' to 12'",5642
454,2013-12-10,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,30,N,14h30,4' to 6' shark,5641
455,2013-12-05,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,26,N,18h15," Wobbegong shark, 1.6 to 1.8m ",5640
456,2013-12-02,Unprovoked,USA,Hawaii,"Between  Makena & Molokini, Maui",Kayaking / Fishing,M,57,Y,09h00,Other,5639
457,2013-11-30,Unprovoked,AUSTRALIA,New South Wales,"Riecks Point,  Campbell’s Beach, ",Body boarding,M,19,Y,14h00,"Tiger shark, 3m ",5638
458,2013-11-29,Unprovoked,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,F,58,N,13h00,Other,5637
459,2013-11-23,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,35,Y,09h00,Thought to involve a white shark,5636
460,2013-11-22,Unprovoked,USA,Oregon,"Gleneden Beach, Lincoln County",Surfing,M,25,N,10h30,"White shark, 10 '",5635
461,2013-11-12,Unprovoked,AUSTRALIA,Western Australia,"Trigg Beach, Perth",Surfing,M,-1,N,15h00,Reported to involve a white shark,5634
462,2013-11-10,Provoked,BAHAMAS,Other,Off Cape Eleuthera,Shark fishing,M,77,N,11h00,Other,5633
463,2013-11-07,Unprovoked,USA,New Jersey,"Bay Head, Ocean County",Body boarding,M,16,N,Unknown,Other,5632
464,2013-11-07,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,-1,N,Unknown,Other,5631
465,2013-10-31,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Kiteboarding,M,46,N,15h19,Tiger shark,5630
466,2013-10-28,Unprovoked,AUSTRALIA,Western Australia,Turquoise Bay,Snorkeling,F,60,N,Unknown,"Blacktip reef shark, 1m",5629
467,2013-10-26,Unprovoked,REUNION,d’Étang-Salé,Ravine Mula,Body boarding,M,24,N,16h30,Thought to involve a bull shark,5628
468,2013-10-26,Unprovoked,AUSTRALIA,Western Australia,"Little Island, near Hillarys",Diving for crayfish,M,-1,N,10h55,Reported to involve a 4 m white shark,5627
469,2013-10-24,Unprovoked,AUSTRALIA,New South Wales,South Narrabeen Beach,Surfing,M,41,N,18h15,Wobbegong shark,5626
470,2013-10-23,Unprovoked,USA,Hawaii,"Waiehu, Maui",Diving,M,45,N,15h55,"Whitetip reef shark, 4' to 6'",5625
471,2013-10-20,Unprovoked,USA,Hawaii,"Pila'a Beach, Kaua'i",Surfing,M,25,N,11h00,Tiger shark,5624
472,2013-10-19,Unprovoked,USA,Florida,Miami Beach,Wading,M,6,N,Unknown,Nurse shark?,5623
473,2013-10-11,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",Swimming / snorkeling,M,74,Y,11h30,White shark,5622
474,2013-10-08,Unprovoked,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",Diving for Abalone,M,55,N,10h30,White shark,5621
475,2013-10-06,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,45,N,08h45,"White shark, 8' to 10'",5620
476,2013-10-10,Unprovoked,USA,Florida,"Destin, Okaloosa County",Wading,M,12,N,15h30,Small bull shark,5619
477,2013-09-29,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,50,N,10h00,Other,5618
478,2013-09-29,Provoked,ISRAEL,Southern District,Ashdod,Diving,M,27,N,11h30,Other,5617
479,2013-09-25,Unprovoked,USA,Florida,"Panama City, Bay County",Standing,M,7,N,10h30,Other,5616
480,2013-09-21,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,45,N,13h00,Other,5615
481,2013-09-21,Unprovoked,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,M,-1,N,Unknown,Other,5614
482,2013-09-14,Unprovoked,USA,Florida,"Casino Beach, Pensacola, Escambia County",Swimming,M,21,N,15h30,Bull shark,5613
483,2013-09-12,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,F,13,N,13h00,3' shark,5612
484,2013-09-08,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Unknown,F,-1,Unknown,Unknown,Other,5611
485,2013-09-07,Provoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,M,43,N,16h00,3' shark,5610
486,2013-09-07,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Standing,M,25,N,16h00,3' shark,5609
487,2013-09-02,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,17,N,13h00,Other,5608
